id_venta,numero_linea,fecha_venta,id_cliente,id_producto,id_tienda,nombre_tienda,ciudad,empresa,nombre_producto,categoria,cantidad,precio_unitario,descuento,genero_cliente,tipo_cliente,talla,metodo_pago,canal,temporada,tipo_prenda,departamento
V003565,1,2024-02-04,C00909,P0003,T007,KOAJ San Pedro Plaza,Neiva,KOAJ,Jean mom,Jeans,4,"179.000,00",0.0,Hombre,Local,40,Tarjeta crédito,Tienda física,Temporada regular,Pantalón,Huila
V002111,2,2023-01-01,C00348,P0008,T040,KOAJ Andino,Bogotá,KOAJ,Chaqueta bomber,Chaquetas,1,"211000,00",0.0,Hombre,Local,M,Efectivo,Tienda física,Regreso a clases,Chaqueta,Bogotá D.C.
V002185,1,2023-03-31,C00804,P0009,T003,KOAJ Ocean Mall,Santa Marta,KOAJ,Camisa casual,Camisas,1,"128000,00",0.0,Mujer,Turista,XXL,Efectivo,Tienda física,Día del Padre,Camisa,Magdalena
V002828,1,2024-05-13,C00951,P0014,T034,KOAJ Viva Barranquilla,Barranquilla,KOAJ,Jogger,Pantalones,2,"133000,00",,Hombre,Local,38,Tarjeta crédito,Tienda física,Black Friday,Pantalón,Atlántico
V001693,1,2023-11-14,C01804,P0007,T030,KOAJ Cacique,Bucaramanga,KOAJ,Gorra,Accesorios,1,"61000,00",0.0,Mujer,Local,XL,Tarjeta crédito,Tienda física,Temporada regular,Accesorio,Santander
V002807,1,2024-02-18,C02277,P0002,T012,KOAJ Chipichape,Cali,KOAJ,Set deportivo,Deportivo,3,161000,0.0,Hombre,Turista,S,Tarjeta débito,Tienda física,Temporada regular,Conjunto,Valle del Cauca
V000115,1,2025-04-07,C02234,P0008,T004,KOAJ Unicentro,Armenia,KOAJ,Chaqueta bomber,Chaquetas,1,"209000,00",0.3,Hombre,Local,XL,Tarjeta crédito,Tienda física,Temporada regular,Chaqueta,Quindío
V003330,1,2024-02-17,C01818,P0023,T039,KOAJ Alamedas,Montería,KOAJ,Camiseta oversize,Camisetas,4,"74.000,00",0.0,Hombre,Local,XL,Transferencia,Tienda física,Regreso a clases,Camiseta,Córdoba
V000124,1,2023-12-20,C02711,P0024,T022,KOAJ Portal del Prado,Barranquilla,KOAJ,Chaqueta denim,Chaquetas,2,"207.000,00",0.0,Mujer,Local,L,Tarjeta crédito,Tienda física,Temporada regular,Chaqueta,Atlántico
V002362,2,2023-08-27,C02186,P0004,T031,KOAJ Campanario,Popayán,KOAJ,Jean skinny,Jeans,1,170000,0.0,Hombre,Local,28,Tarjeta débito,Tienda física,Temporada regular,Pantalón,Cauca
V003606,1,2023-09-21,C01850,P0011,T021,KOAJ Mallplaza,Manizales,KOAJ ,Buzo básico,Buzos,4,"132.000,00",0.0,Hombre,Local,M,Tarjeta crédito,Tienda física,Regreso a clases,Buzo,Caldas
V002888,1,2023-05-01,C02105,P0024,T032,KOAJ La Castellana,Cartagena,KOAJ,Chaqueta denim,Chaquetas,4,226000,0.0,Hombre,Local,XXL,Efectivo,Tienda física,Regreso a clases,Chaqueta,Bolívar
V003164,1,2024-04-19,C00648,P0020,T009,KOAJ Buenavista,Montería,KOAJ,Camiseta estampada,Camisetas,1,"78.000,00",0.0,Mujer,Local,XXL,Tarjeta débito,Tienda física,Black Friday,Camiseta,Córdoba
V002461,3,2024-09-21,C01138,P0007,T004,KOAJ Unicentro,Armenia,KOAJ,Gorra,Accesorios,2,60000,0.3,Hombre,Local,L,Tarjeta débito,Tienda física,Temporada regular,Accesorio,Quindío
V000546,1,2023-10-14,C01500,P0019,T006,KOAJ Único,Pasto,KOAJ,Top,Tops,3,"70.000,00",0.0,Mujer,Turista,M,Tarjeta débito,Tienda física,Regreso a clases,Top,Nariño
V000214,1,2023-05-14,C01254,P0009,T041,KOAJ Mayales,Valledupar,KOAJ,Camisa casual,Camisas,2,"122000,00",0.0,Mujer,Local,S,Tarjeta débito,Tienda física,Regreso a clases,Camisa,Cesar
V001682,1,2024-08-06,C00725,P0021,T034,KOAJ Viva Barranquilla,  Barranquilla  ,KOAJ,Polo,Camisas,2,"118.000,00",0.0,Hombre,Local,S,Efectivo,Tienda física,Día de la Madre,Polo,Atlántico
V001888,1,2025-08-25,C02526,P0016,T009,KOAJ Buenavista,Montería,KOAJ,Pantalón cargo,Pantalones,1,"145000,00",0.15,Hombre,Local,40,Tarjeta crédito,Tienda física,Día de la Madre,Pantalón,Córdoba
V000187,2,2024-04-04,C01877,P0018,T012,KOAJ Chipichape,Cali,KOAJ,Camiseta básica,Camisetas,1,78000,0.0,Mujer,Local,L,Transferencia,Online,Temporada regular,Camiseta,Valle del Cauca
