id_venta,numero_linea,fecha_venta,id_cliente,genero_cliente,tipo_cliente,id_producto,nombre_producto,categoria,tipo_prenda,id_tienda,nombre_tienda,ciudad,departamento,empresa,cantidad,precio_unitario,descuento,metodo_pago,canal,temporada,talla
V003565,1,2024-02-04,C00909,Hombre,Local,P0003,Jean Mom,Jeans,Pantalón,T007,Koaj San Pedro Plaza,Neiva,Huila,KOAJ,4,179000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,40
V002111,2,2023-01-01,C00348,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T040,Koaj Andino,Bogotá,Bogotá D.C.,KOAJ,1,211000.0,0.0,Efectivo,Tienda Física,Regreso A Clases,M
V002185,1,2023-03-31,C00804,Mujer,Turista,P0009,Camisa Casual,Camisas,Camisa,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,1,128000.0,0.0,Efectivo,Tienda Física,Día Del Padre,Xxl
V002828,1,2024-05-13,C00951,Hombre,Local,P0014,Jogger,Pantalones,Pantalón,T034,Koaj Viva Barranquilla,Barranquilla,Atlántico,KOAJ,2,133000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,38
V001693,1,2023-11-14,C01804,Mujer,Local,P0007,Gorra,Accesorios,Accesorio,T030,Koaj Cacique,Bucaramanga,Santander,KOAJ,1,61000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V002807,1,2024-02-18,C02277,Hombre,Turista,P0002,Set Deportivo,Deportivo,Conjunto,T012,Koaj Chipichape,Cali,Valle Del Cauca,KOAJ,3,161000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,S
V000115,1,2025-04-07,C02234,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,209000.0,0.3,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V003330,1,2024-02-17,C01818,Hombre,Local,P0023,Camiseta Oversize,Camisetas,Camiseta,T039,Koaj Alamedas,Montería,Córdoba,KOAJ,4,74000.0,0.0,Transferencia,Tienda Física,Regreso A Clases,Xl
V000124,1,2023-12-20,C02711,Mujer,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T022,Koaj Portal Del Prado,Barranquilla,Atlántico,KOAJ,2,207000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,L
V002362,2,2023-08-27,C02186,Hombre,Local,P0004,Jean Skinny,Jeans,Pantalón,T031,Koaj Campanario,Popayán,Cauca,KOAJ,1,170000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,28
V003606,1,2023-09-21,C01850,Hombre,Local,P0011,Buzo Básico,Buzos,Buzo,T021,Koaj Mallplaza,Manizales,Caldas,KOAJ,4,132000.0,0.0,Tarjeta Crédito,Tienda Física,Regreso A Clases,M
V002888,1,2023-05-01,C02105,Hombre,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T032,Koaj La Castellana,Cartagena,Bolívar,KOAJ,4,226000.0,0.0,Efectivo,Tienda Física,Regreso A Clases,Xxl
